level,target,cosine_mean,cosine_se,lpips_mean,lpips_se
C(1),0.153358,0.153350,0.000022,0.196949,0.008532
full model one style, two trajectories,0.029536,0.029536,0.004227,0.075202,0.007253
C(64),0.021202,0.021211,0.000029,0.050401,0.004435
C(192),0.013038,0.013017,0.000046,0.034096,0.001987
C(384),0.009614,0.009676,0.000043,0.025508,0.001888
5% of C(1) (the N_95 threshold),0.007668,0.007821,0.000079,0.021138,0.002120
C(768),0.007183,0.007104,0.000082,0.023105,0.002440
# k,16
# m,512
# print,FID_426_0.png
