pool_size,coverage_mean,coverage_std,rel_residual
1,0.183657,0.018654,1.0000
2,0.146895,0.015428,0.7998
4,0.120872,0.014124,0.6581
8,0.099892,0.012374,0.5439
12,0.089555,0.011780,0.4876
16,0.083902,0.011373,0.4568
24,0.076312,0.010565,0.4155
32,0.071747,0.010227,0.3907
48,0.065898,0.009501,0.3588
64,0.062033,0.009044,0.3378
96,0.057333,0.008591,0.3122
128,0.054221,0.008166,0.2952
192,0.050201,0.007737,0.2733
256,0.047580,0.007446,0.2591
384,0.044285,0.007049,0.2411
512,0.041947,0.006747,0.2284
768,0.039000,0.006354,0.2124
# noise_floor,0.000000
# c1,0.183657
# n_95,unreached
# nfe,n/a
# m,1024
