pool_size,coverage_mean,coverage_std,rel_residual
1,0.140701,0.035330,1.0000
2,0.101998,0.024754,0.7249
4,0.072428,0.017023,0.5148
8,0.050079,0.012003,0.3559
12,0.039882,0.009775,0.2835
16,0.033905,0.008702,0.2410
24,0.027495,0.007015,0.1954
32,0.023356,0.006231,0.1660
48,0.018484,0.004977,0.1314
64,0.015917,0.004165,0.1131
96,0.012680,0.003499,0.0901
128,0.010847,0.003065,0.0771
192,0.008658,0.002503,0.0615
256,0.007423,0.002191,0.0528
384,0.006036,0.001822,0.0429
# noise_floor,-0.000000
# c1,0.140701
# n_95,285
# nfe,1
# m,512
