pool_size,coverage_mean,coverage_std,rel_residual
1,0.159206,0.030764,1.0000
2,0.118420,0.023987,0.7438
4,0.086408,0.018042,0.5427
8,0.063306,0.013447,0.3976
12,0.052375,0.011097,0.3290
16,0.046146,0.010159,0.2899
24,0.038102,0.008842,0.2393
32,0.033792,0.007910,0.2123
48,0.027679,0.006672,0.1739
64,0.024376,0.006192,0.1531
96,0.020247,0.005291,0.1272
128,0.017851,0.004868,0.1121
192,0.014876,0.004208,0.0934
256,0.013179,0.003830,0.0828
384,0.011090,0.003336,0.0697
512,0.009843,0.003058,0.0618
768,0.008323,0.002654,0.0523
1024,0.007423,0.002440,0.0466
# noise_floor,-0.000000
# c1,0.159206
# n_95,860
# nfe,5
# m,1536
