run,epoch,step,cos_err,l2,cycle_loss,top1,var_share_style,var_share_traj,var_share_interaction,mean_intensity
shoeprint_unsb_v2_1,54,1,0.0267,0.0182,0.0303,0.7708,1.0000,0.0000,0.0000,0.9726
shoeprint_unsb_v2_1,54,2,0.0256,0.0186,0.0294,0.8403,0.9567,0.0140,0.0293,0.9725
shoeprint_unsb_v2_1,54,3,0.0244,0.0185,0.0281,0.8194,0.9302,0.0185,0.0514,0.9733
shoeprint_unsb_v2_1,54,4,0.0235,0.0184,0.0272,0.8194,0.9042,0.0217,0.0740,0.9739
shoeprint_unsb_v2_1,54,5,0.0228,0.0183,0.0264,0.8542,0.8722,0.0254,0.1024,0.9743
shoeprint_unsb_v2_2,44,1,0.0067,0.0327,0.0133,0.6667,1.0000,0.0000,0.0000,0.9708
shoeprint_unsb_v2_2,44,2,0.0052,0.0352,0.0123,0.6736,0.9152,0.0381,0.0467,0.9713
shoeprint_unsb_v2_2,44,3,0.0051,0.0348,0.0120,0.6597,0.8861,0.0437,0.0702,0.9727
shoeprint_unsb_v2_2,44,4,0.0052,0.0340,0.0120,0.5694,0.8597,0.0467,0.0936,0.9743
shoeprint_unsb_v2_2,44,5,0.0054,0.0346,0.0124,0.6111,0.8272,0.0498,0.1230,0.9754
shoeprint_unsb_v2_3,36,1,0.0221,0.0184,0.0257,0.9375,1.0000,0.0000,0.0000,0.9638
shoeprint_unsb_v2_3,36,2,0.0193,0.0235,0.0240,0.9236,0.9326,0.0319,0.0355,0.9610
shoeprint_unsb_v2_3,36,3,0.0168,0.0238,0.0215,0.9167,0.8968,0.0394,0.0638,0.9604
shoeprint_unsb_v2_3,36,4,0.0155,0.0243,0.0203,0.9097,0.8668,0.0424,0.0908,0.9600
shoeprint_unsb_v2_3,36,5,0.0146,0.0251,0.0196,0.8958,0.8333,0.0447,0.1220,0.9596
