run,epoch,step,cos_err,l2,cycle_loss,top1,var_share_style,var_share_traj,var_share_interaction,mean_intensity
shoeprint_unsb_v2_no_noise_1,56,1,0.0083,0.0103,0.0104,0.8958,1.0000,0.0000,0.0000,0.9691
shoeprint_unsb_v2_no_noise_1,56,2,0.0084,0.0101,0.0104,0.8542,1.0000,0.0000,0.0000,0.9691
shoeprint_unsb_v2_no_noise_1,56,3,0.0071,0.0098,0.0091,0.8958,1.0000,0.0000,0.0000,0.9689
shoeprint_unsb_v2_no_noise_1,56,4,0.0063,0.0098,0.0083,0.9167,1.0000,0.0000,0.0000,0.9687
shoeprint_unsb_v2_no_noise_1,56,5,0.0058,0.0100,0.0078,0.9375,1.0000,0.0000,0.0000,0.9685
shoeprint_unsb_v2_no_noise_2,52,1,0.0038,0.0344,0.0107,0.6667,1.0000,0.0000,0.0000,0.9799
shoeprint_unsb_v2_no_noise_2,52,2,0.0037,0.0296,0.0096,0.6875,1.0000,0.0000,0.0000,0.9814
shoeprint_unsb_v2_no_noise_2,52,3,0.0034,0.0255,0.0085,0.7083,1.0000,0.0000,0.0000,0.9823
shoeprint_unsb_v2_no_noise_2,52,4,0.0030,0.0223,0.0074,0.7083,1.0000,0.0000,0.0000,0.9828
shoeprint_unsb_v2_no_noise_2,52,5,0.0027,0.0193,0.0066,0.7917,1.0000,0.0000,0.0000,0.9831
shoeprint_unsb_v2_no_noise_3,60,1,0.0088,0.0062,0.0100,1.0000,1.0000,0.0000,0.0000,0.9603
shoeprint_unsb_v2_no_noise_3,60,2,0.0063,0.0048,0.0073,1.0000,1.0000,0.0000,0.0000,0.9608
shoeprint_unsb_v2_no_noise_3,60,3,0.0055,0.0041,0.0063,1.0000,1.0000,0.0000,0.0000,0.9613
shoeprint_unsb_v2_no_noise_3,60,4,0.0057,0.0036,0.0064,1.0000,1.0000,0.0000,0.0000,0.9619
shoeprint_unsb_v2_no_noise_3,60,5,0.0056,0.0034,0.0063,1.0000,1.0000,0.0000,0.0000,0.9624
